"","Time.S","Plate","Size"
"1035",21751.5,"B3",397573
"1036",22588,"B3",409046
"1037",23424.5,"B3",415906
"1038",24260.9,"B3",421919
"1039",25097.4,"B3",424853
"1040",25933.9,"B3",433351
"1041",26770.4,"B3",437600
"1042",27606.8,"B3",444325
"1043",28443.3,"B3",448889
"1044",29279.8,"B3",454551
"1045",30116.3,"B3",460736
"1046",30952.8,"B3",464869
"1047",31789.2,"B3",467832
"1048",32625.7,"B3",468491
"1049",33462.2,"B3",475827
"1050",34298.6,"B3",477966
"1051",35135.1,"B3",480245
"1052",35971.6,"B3",485373
"1053",36808.1,"B3",483049
"1054",37644.5,"B3",483482
"1055",38481,"B3",485031
"1056",39317.5,"B3",485436
"1057",40154,"B3",489531
"1058",40990.4,"B3",490324
"1059",41826.9,"B3",487370
"1060",42663.4,"B3",493908
"1061",43499.9,"B3",494873
"1062",44336.4,"B3",500349
"1063",45172.8,"B3",504115
"1064",46009.3,"B3",507804
"1065",46845.8,"B3",509409
"1066",47682.3,"B3",508150
"1067",48518.8,"B3",511940
"1068",49355.2,"B3",509840
"1069",50191.7,"B3",514418
"1070",51028.2,"B3",515933
"1071",51864.7,"B3",512998
"1072",52701.2,"B3",515071
"1073",53537.6,"B3",511996
"1074",54374.1,"B3",514981
"1075",55210.6,"B3",512257
"1076",56047.1,"B3",516650
"1077",56883.5,"B3",512975
"1078",57720,"B3",517377
"1079",58556.5,"B3",520250
"1080",59393,"B3",521076
"1081",0,"B4",24630
"1082",836.5,"B4",27098
"1083",1673,"B4",30224
"1084",2512.5,"B4",34268
"1085",3349,"B4",39739
"1086",4185.5,"B4",45937
"1087",5022,"B4",54413
"1088",5858.5,"B4",63352
"1089",6694.9,"B4",75245
"1090",7531.4,"B4",89245
"1091",8367.9,"B4",107402
"1092",9204.4,"B4",129058
"1093",10040.8,"B4",152592
"1094",10877.3,"B4",178906
"1095",11713.8,"B4",207491
"1096",12550.3,"B4",234123
"1097",13386.7,"B4",261628
"1098",14223.2,"B4",283259
"1099",15059.7,"B4",301779
"1100",15896.2,"B4",317537
"1101",16732.6,"B4",340346
"1102",17569.1,"B4",349895
"1103",18405.6,"B4",362187
"1104",19242.1,"B4",370896
"1105",20078.5,"B4",382095
"1106",20915,"B4",388669
"1107",21751.5,"B4",396025
"1108",22588,"B4",406207
"1109",23424.5,"B4",410372
"1110",24260.9,"B4",415439
"1111",25097.4,"B4",422727
"1112",25933.9,"B4",431917
"1113",26770.4,"B4",436585
"1114",27606.8,"B4",441564
"1115",28443.3,"B4",447924
"1116",29279.8,"B4",452495
"1117",30116.3,"B4",458117
"1118",30952.8,"B4",460781
"1119",31789.2,"B4",467718
"1120",32625.7,"B4",469208
"1121",33462.2,"B4",474880
"1122",34298.6,"B4",479192
"1123",35135.1,"B4",481173
"1124",35971.6,"B4",481717
"1125",36808.1,"B4",485057
"1126",37644.5,"B4",485633
"1127",38481,"B4",485167
"1128",39317.5,"B4",487816
"1129",40154,"B4",489539
"1130",40990.4,"B4",489117
"1131",41826.9,"B4",487474
"1132",42663.4,"B4",491742
"1133",43499.9,"B4",494026
"1134",44336.4,"B4",496333
"1135",45172.8,"B4",501242
"1136",46009.3,"B4",506302
"1137",46845.8,"B4",507237
"1138",47682.3,"B4",509173
"1139",48518.8,"B4",510798
"1140",49355.2,"B4",511394
"1141",50191.7,"B4",511551
"1142",51028.2,"B4",512785
"1143",51864.7,"B4",512003
"1144",52701.2,"B4",513352
"1145",53537.6,"B4",510824
"1146",54374.1,"B4",514545
"1147",55210.6,"B4",514676
"1148",56047.1,"B4",516212
"1149",56883.5,"B4",512778
"1150",57720,"B4",516558
"1151",58556.5,"B4",519273
"1152",59393,"B4",518585
"1729",0,"C1",24867
"1730",836.5,"C1",27066
"1731",1673,"C1",30309
"1732",2512.5,"C1",34305
"1733",3349,"C1",40035
"1734",4185.5,"C1",45848
"1735",5022,"C1",53916
"1736",5858.5,"C1",62975
"1737",6694.9,"C1",75547
"1738",7531.4,"C1",89679
"1739",8367.9,"C1",108554
"1740",9204.4,"C1",130516
"1741",10040.8,"C1",156372
"1742",10877.3,"C1",183760
"1743",11713.8,"C1",214368
"1744",12550.3,"C1",243627
"1745",13386.7,"C1",269540
"1746",14223.2,"C1",293978
"1747",15059.7,"C1",312613
"1748",15896.2,"C1",329967
"1749",16732.6,"C1",353603
"1750",17569.1,"C1",363160
"1751",18405.6,"C1",373347
"1752",19242.1,"C1",384459
"1753",20078.5,"C1",396685
"1754",20915,"C1",404933
"1755",21751.5,"C1",411791
"1756",22588,"C1",421320
"1757",23424.5,"C1",424461
"1758",24260.9,"C1",431899
"1759",25097.4,"C1",436164
"1760",25933.9,"C1",440433
"1761",26770.4,"C1",449136
"1762",27606.8,"C1",454274
"1763",28443.3,"C1",458837
"1764",29279.8,"C1",461941
"1765",30116.3,"C1",469709
"1766",30952.8,"C1",470882
"1767",31789.2,"C1",474607
"1768",32625.7,"C1",483439
"1769",33462.2,"C1",482032
"1770",34298.6,"C1",488373
"1771",35135.1,"C1",488322
"1772",35971.6,"C1",489423
"1773",36808.1,"C1",486355
"1774",37644.5,"C1",490078
"1775",38481,"C1",490704
"1776",39317.5,"C1",491967
"1777",40154,"C1",489916
"1778",40990.4,"C1",492324
"1779",41826.9,"C1",490761
"1780",42663.4,"C1",497199
"1781",43499.9,"C1",496320
"1782",44336.4,"C1",502056
"1783",45172.8,"C1",504634
"1784",46009.3,"C1",510038
"1785",46845.8,"C1",514912
"1786",47682.3,"C1",511362
"1787",48518.8,"C1",515537
"1788",49355.2,"C1",511944
"1789",50191.7,"C1",517063
"1790",51028.2,"C1",517399
"1791",51864.7,"C1",516973
"1792",52701.2,"C1",514421
"1793",53537.6,"C1",514192
"1794",54374.1,"C1",517929
"1795",55210.6,"C1",518348
"1796",56047.1,"C1",519197
"1797",56883.5,"C1",518205
"1798",57720,"C1",519118
"1799",58556.5,"C1",524517
"1800",59393,"C1",519775
"1801",0,"C2",34743
"1802",836.5,"C2",37166
"1803",1673,"C2",41140
"1804",2512.5,"C2",45808
"1805",3349,"C2",51915
"1806",4185.5,"C2",58466
"1807",5022,"C2",67025
"1808",5858.5,"C2",77423
"1809",6694.9,"C2",90696
"1810",7531.4,"C2",104332
"1811",8367.9,"C2",121710
"1812",9204.4,"C2",143605
"1813",10040.8,"C2",166899
"1814",10877.3,"C2",190802
"1815",11713.8,"C2",218505
"1816",12550.3,"C2",244222
"1817",13386.7,"C2",270249
"1818",14223.2,"C2",293152
"1819",15059.7,"C2",311855
"1820",15896.2,"C2",329186
"1821",16732.6,"C2",352514
"1822",17569.1,"C2",361510
"1823",18405.6,"C2",370990
"1824",19242.1,"C2",380920
"1825",20078.5,"C2",390526
"1826",20915,"C2",398369
"1827",21751.5,"C2",403536
"1828",22588,"C2",414981
"1829",23424.5,"C2",422242
"1830",24260.9,"C2",426832
"1831",25097.4,"C2",432168
"1832",25933.9,"C2",438513
"1833",26770.4,"C2",446372
"1834",27606.8,"C2",451163
"1835",28443.3,"C2",456507
"1836",29279.8,"C2",462166
"1837",30116.3,"C2",469761
"1838",30952.8,"C2",474599
"1839",31789.2,"C2",480476
"1840",32625.7,"C2",485222
"1841",33462.2,"C2",488646
"1842",34298.6,"C2",493027
"1843",35135.1,"C2",498339
"1844",35971.6,"C2",501246
"1845",36808.1,"C2",505404
"1846",37644.5,"C2",508612
"1847",38481,"C2",508332
"1848",39317.5,"C2",508915
"1849",40154,"C2",515484
"1850",40990.4,"C2",516401
"1851",41826.9,"C2",517160
"1852",42663.4,"C2",527055
"1853",43499.9,"C2",530204
"1854",44336.4,"C2",533674
"1855",45172.8,"C2",540335
"1856",46009.3,"C2",548240
"1857",46845.8,"C2",548444
"1858",47682.3,"C2",553477
"1859",48518.8,"C2",556768
"1860",49355.2,"C2",556793
"1861",50191.7,"C2",559955
"1862",51028.2,"C2",560715
"1863",51864.7,"C2",563213
"1864",52701.2,"C2",566206
"1865",53537.6,"C2",564308
"1866",54374.1,"C2",565702
"1867",55210.6,"C2",566546
"1868",56047.1,"C2",569458
"1869",56883.5,"C2",569959
"1870",57720,"C2",570763
"1871",58556.5,"C2",580741
"1872",59393,"C2",574775
"1873",0,"C3",25221
"1874",836.5,"C3",27347
"1875",1673,"C3",30490
"1876",2512.5,"C3",34435
"1877",3349,"C3",39842
"1878",4185.5,"C3",45921
"1879",5022,"C3",53273
"1880",5858.5,"C3",61469
"1881",6694.9,"C3",72478
"1882",7531.4,"C3",85264
"1883",8367.9,"C3",100367
"1884",9204.4,"C3",120198
"1885",10040.8,"C3",141738
"1886",10877.3,"C3",165761
"1887",11713.8,"C3",193926
"1888",12550.3,"C3",219325
"1889",13386.7,"C3",245984
"1890",14223.2,"C3",268893
